,id,score
97,5c4742b3f0f087bce399d7da,0.7552627737731893
91,5c362cb4f0f051841d8d3734,0.752258799528367
60,5b82c4c8f0f05e1359c656fd,0.7500863610409433
4,5870eb05f0f0d1e240593f6f,0.748169563187631
70,5bc60d8cf0f094ee3f6f91ca,0.7469149374203542
47,5ae033a5f0f0c1d553494a81,0.7464120040289792
27,595ae00bf0f080a3900b9b12,0.7463901284672204
65,5ba9a7b9f0f00da092d1c99e,0.7453310897558131
38,5a4e45a4f0f0b497f6cff9f3,0.7451011815073656
87,5c22f43df0f0ed7cb7103f7e,0.7423001808338263
15,58de3af3f0f097026af7c958,0.7403236659468901
24,58fec75af0f0847a4d225c9e,0.737907388694678
26,594a0632f0f0e54ec8a4b550,0.7371316706505339
6,587146daf0f009f126dc8902,0.737099304027882
83,5c108daff0f0e4aaeb216072,0.7366033639035408
57,5b617853f0f0dac54702d998,0.7363830829808632
11,58ab1145b1220535d76c2122,0.7356194729459394
32,5a078530f0f033eb36d9602c,0.7342625515431536
13,58dc0444f0f0e9d90eebc018,0.7342085288683614
63,5ba307f2f0f04220de112756,0.733959749019404
30,598524c2f0f03b6e5f6a7378,0.7336789665539728
92,5c384468f0f0c14d6178ebb7,0.733600707520119
94,5c417e09f0f0257436628c9a,0.73192301132719
66,5bac7a18f0f00da093aac06c,0.7314995049366724
51,5b4eff7e611c3e897a49d3db,0.7309176651837049
28,596eafaaf0f0929686d38b08,0.7308495458705114
7,5873b3bcf0f0bf89e763ed74,0.730840702099445
90,5c35687ef0f051841d0b6720,0.7300546729257184
39,5a5c686ff0f04092c746cfb0,0.729820946399422
23,58f5e8e7f0f05d62b3edf430,0.7293348070445065
45,5ab458b3f0f0790bfa6e042e,0.7292302366521151
17,58e5ae01f0f014cf1e36e04d,0.7291323168444106
25,5926a35ef0f030cd29e47ea6,0.7291059296394201
49,5b27a320611cd39127b6d10b,0.7288497867822713
50,5b3482fe611cc6fcb20f2690,0.728781125417075
82,5c0fd713f0f0e4aaeb01c13e,0.7284559030859864
20,58e5af6df0f0b66f82690d99,0.7268387763033969
33,5a0b1d8ef0f09aa8436afa3c,0.7266751324451199
46,5acc7085f0f0d272801cabd5,0.7266465043448586
36,5a39c8c0f0f0268b766f7ae7,0.7265691410949469
95,5c45a77cf0f087bce32f78a3,0.7264420576458953
67,5bba2889f0f07d4641bd7270,0.7262303437099602
69,5bc0ab02f0f0b46e52ccd95e,0.7259468511828396
10,5894bd96f0f035131cd9a9de,0.7255781445540744
21,58f0373af0f02737001ea69f,0.7254563301105671
54,5b572c81611c3bc182651322,0.7254087818021029
16,58e5ad3cf0f014cf1e36a5ff,0.7248526654841368
64,5ba7062bf0f00da0926e9307,0.7245851999491206
80,5c060f22f0f03dc42f4c394c,0.7244698051569897
29,59830ffef0f0123fd31ea8ba,0.7243642278048386
93,5c3c48d4f0f00697b50541a2,0.7243615463389718
81,5c0f10c0f0f0d1a315382052,0.7234622873337396
42,5a951ae2f0f08ca5ec8dbb5a,0.7234015677155387
53,5b56a33d611c3bc1821e5a42,0.7231007624827436
52,5b51b869611c3e897b7c75e9,0.7219024774478243
0,586d6dd4f0f0117de8b68b51,0.7218379138031566
2,586d789df0f0117de983da4f,0.7214451340508851
72,5bd7fd98f0f051b423d9c9e7,0.7204995684171073
40,5a6decbdf0f0bb63df1e57e2,0.7198350375471199
89,5c25896ff0f0c76dab68e78d,0.7190580018119181
59,5b754916f0f0b1d8f93abd7c,0.7186400016308315
73,5bdf9c51f0f04fac594bec47,0.7183742650290803
37,5a4776b4f0f08a0f42bc0068,0.7183565194728295
86,5c2195cff0f0ed7cb6ad4279,0.7175344983636492
61,5b84b792f0f05e135a3b1533,0.7168364249131315
22,58f18a1cf0f0daaa54e6c1b4,0.7167690045091523
55,5b5aa84d611c34fcbd907774,0.7159517070964198
88,5c24b5bcf0f0ed7cb937f0fc,0.7142958142623241
8,5873b4d4f0f0bf89e7753f96,0.7141535872840775
12,58dbecf0f0f01efec33d5061,0.7139767474045297
79,5c05ffd26670d4c8bcc85187,0.7138489177653269
5,587133b8f0f009f125de26c2,0.7134548253064691
84,5c174e87f0f059a23ea666d0,0.7126853407141617
77,5c01075bf0f0876e68d96c80,0.7113738592051814
48,5b021d0f611ca3a15ecd112c,0.7107606641869069
98,5c65873ef0f06f19833c1d6f,0.7100708110474695
9,5880b07df0f0ab09e6a9ac9e,0.708488254966435
41,5a732741f0f0bb63e32c7935,0.7082635142577418
1,586d731af0f0117de90f3138,0.7073030111369798
96,5c45b4bbf0f087bce332435b,0.706157274891288
58,5b752b5cf0f0b1d8f9327450,0.7045644878160507
71,5bc93c2af0f096988995620b,0.7042799156835842
85,5c18d9edf0f0126e32f3aaa4,0.7040969521244022
75,5bee9338f0f086402c685b67,0.7037916138099126
56,5b5eca78611cf79936d2ced6,0.6994318153017693
35,5a141bdaf0f06161ee0b0cf9,0.6965065266755927
43,5a9f1397f0f02ec7074e6d31,0.6961385784843962
14,58dd3186f0f01efec35bd6b5,0.6936272618687226
44,5aa87a86f0f07404677f3e24,0.6920019557995681
74,5be0586df0f0e68bac074470,0.6906740403870062
62,5b8caa07f0f0f03594a0d27d,0.679911524685595
76,5bf72707f0f06a58efd9dd88,0.6648290918294878
99,5c663e93f0f06f19836021e8,0.6646306358193527
68,5bbc2cf5f0f07d46425daa69,0.6514598818365516
78,5c04d7b1f0f022d3f2091dc5,0.6493903846146942
34,5a0e80fef0f02040f90bfd3a,0.5768485624123049
18,58e5aef9f0f0b66f8268dfa3,0.5738511015978564
31,59966086f0f0f5a89f5fe8a9,0.5689322764164868
3,586d970af0f0a58c426b284b,0.5662165612094557
19,58e5af18f0f0b66f8268ea98,0.5597411999428411
